Statistic,Year,Type of Crop,UNIT,VALUE
Area under Crops,2006,Kale and field cabbage,000 Hectares,
Area under Crops,2007,"Total wheat, oats and barley",000 Hectares,273.1
Area under Crops,2007,Total wheat,000 Hectares,84.3
Area under Crops,2007,Winter wheat,000 Hectares,64.7
Area under Crops,2007,Spring wheat,000 Hectares,19.6
Area under Crops,2007,Total oats,000 Hectares,21.3
Area under Crops,2007,Winter oats,000 Hectares,13.5
Area under Crops,2007,Spring oats,000 Hectares,7.8
Area under Crops,2007,Total barley,000 Hectares,167.5
Area under Crops,2007,Winter barley,000 Hectares,18.7
Area under Crops,2007,Spring barley,000 Hectares,148.8
Area under Crops,2007,Beans and peas,000 Hectares,2.9
Area under Crops,2007,Oilseed rape,000 Hectares,8.2
Area under Crops,2007,Potatoes,000 Hectares,11.7
Area under Crops,2007,Turnips,000 Hectares,
Area under Crops,2007,Sugar beet,000 Hectares,
Area under Crops,2007,Fodder beet,000 Hectares,
Area under Crops,2007,Kale and field cabbage,000 Hectares,
Crop Yield per Hectare,1985,"Total wheat, oats and barley",Tonnes,5.1
Crop Yield per Hectare,1985,Total wheat,Tonnes,6.4
Crop Yield per Hectare,1985,Winter wheat,Tonnes,6.5
Crop Yield per Hectare,1985,Spring wheat,Tonnes,5.8
Crop Yield per Hectare,1985,Total oats,Tonnes,5.1
Crop Yield per Hectare,1985,Winter oats,Tonnes,6.2
Crop Yield per Hectare,1985,Spring oats,Tonnes,4.4
Crop Yield per Hectare,1985,Total barley,Tonnes,4.8
Crop Yield per Hectare,1985,Winter barley,Tonnes,5.2
Crop Yield per Hectare,1985,Spring barley,Tonnes,4.8
Crop Yield per Hectare,1985,Beans and peas,Tonnes,0
Crop Yield per Hectare,1985,Oilseed rape,Tonnes,0
Crop Yield per Hectare,1985,Potatoes,Tonnes,20.8
Crop Yield per Hectare,1985,Turnips,Tonnes,53.5
Crop Yield per Hectare,1985,Sugar beet,Tonnes,38.7
Crop Yield per Hectare,1985,Fodder beet,Tonnes,56.8
Crop Yield per Hectare,1985,Kale and field cabbage,Tonnes,44.2
Crop Yield per Hectare,1986,"Total wheat, oats and barley",Tonnes,5.2
Crop Yield per Hectare,1986,Total wheat,Tonnes,5.5
Crop Yield per Hectare,1986,Winter wheat,Tonnes,5.6
Crop Yield per Hectare,1986,Spring wheat,Tonnes,5.4
Crop Yield per Hectare,1986,Total oats,Tonnes,5.4
Crop Yield per Hectare,1986,Winter oats,Tonnes,6.4
Crop Yield per Hectare,1986,Spring oats,Tonnes,4.8
Crop Yield per Hectare,1986,Total barley,Tonnes,5.1
Crop Yield per Hectare,1986,Winter barley,Tonnes,5.2
Crop Yield per Hectare,1986,Spring barley,Tonnes,5
Crop Yield per Hectare,1986,Beans and peas,Tonnes,0
Crop Yield per Hectare,1986,Oilseed rape,Tonnes,0
Crop Yield per Hectare,1986,Potatoes,Tonnes,20.3
Crop Yield per Hectare,1986,Turnips,Tonnes,51.6
Crop Yield per Hectare,1986,Sugar beet,Tonnes,34.4
Crop Yield per Hectare,1986,Fodder beet,Tonnes,51.1
Crop Yield per Hectare,1986,Kale and field cabbage,Tonnes,43.1
Crop Yield per Hectare,1987,"Total wheat, oats and barley",Tonnes,6
Crop Yield per Hectare,1987,Total wheat,Tonnes,6.9
Crop Yield per Hectare,1987,Winter wheat,Tonnes,7.3
Crop Yield per Hectare,1987,Spring wheat,Tonnes,6.2
Crop Yield per Hectare,1987,Total oats,Tonnes,5.8
Crop Yield per Hectare,1987,Winter oats,Tonnes,7
Crop Yield per Hectare,1987,Spring oats,Tonnes,5
Crop Yield per Hectare,1987,Total barley,Tonnes,5.8
Crop Yield per Hectare,1987,Winter barley,Tonnes,6.3
Crop Yield per Hectare,1987,Spring barley,Tonnes,5.7
Crop Yield per Hectare,1987,Beans and peas,Tonnes,0
Crop Yield per Hectare,1987,Oilseed rape,Tonnes,0
Crop Yield per Hectare,1987,Potatoes,Tonnes,23
Crop Yield per Hectare,1987,Turnips,Tonnes,56.8
Crop Yield per Hectare,1987,Sugar beet,Tonnes,43.7
Crop Yield per Hectare,1987,Fodder beet,Tonnes,64.8
Crop Yield per Hectare,1987,Kale and field cabbage,Tonnes,52.1
Crop Yield per Hectare,1988,"Total wheat, oats and barley",Tonnes,6.4
